inchikey	smiles	PPARD	ABL1	ADAM17	ADRB1	ADRB2	AKT2	MAOB	CASP3	DHFR	ESR2	PTK2	FGFR1	HMGCR	HSP90AA1	KIT	MAPKAPK2	MAP2K1	NOS1	PARP1	PDE5A	PGR	PTPN1	ROCK1	AKT1	AR	CDK2	CSF1R	ESR1	NR3C1	IGF1R	JAK2	LCK	MET	MMP13	PTGS2	PPARA	PPARG	REN	ADORA2A	ACHE	BACE1	CA2	CYP2C9	CYP3A4	HSD11B1	DPP4	DRD2	DRD3	EGFR	F10	GBA	MAPK1	MAPK14	PLK1	SRC	THRB	F2	KDR	logP	QED
KHNCPWUJSRUVHU-UHFFFAOYNA-N	S1C(COCC(O)CN2CCN(CC2)C=3C(=C(C=CC3)C)C)=CC=C1	-8.1	-8.4	-7.5	-8.7	-8.5	-8.0	-7.2	-6.4	-8.3	-8.2	-7.5	-7.9	-6.4	-8.5	-7.1	-7.5	-8.0	-7.7	-7.9	-9.4	-8.1	-6.3	-7.7	-7.7	-7.3	-8.1	-7.9	-7.6	-8.3	-7.0	-7.6	-7.3	-8.5	-8.0	-7.8	-7.3	-7.7	-7.1	-7.8	-9.1	-6.9	-6.9	-8.2	-8.0	-7.7	-7.4	-7.7	-8.0	-8.6	-8.1	-7.8	-7.8	-6.6	-8.4	-7.3	-8.9	-7.3	-7.8	3.0646400000000016	0.8231942497908422
FAHKQXPEOZJDCC-KQEHPHAYNA-N	S(=O)(=O)(N)C=1C=CC(NC(=S)NCC2=CC=CC=C2)=CC1	-8.7	-8.5	-8.0	-8.2	-8.6	-6.4	-9.0	-7.6	-8.6	-7.1	-7.5	-8.0	-7.2	-8.3	-7.7	-6.5	-6.8	-8.4	-8.3	-9.0	-7.3	-7.3	-7.5	-7.6	-7.1	-7.7	-7.2	-7.3	-7.9	-6.9	-7.7	-6.7	-8.2	-9.2	-9.4	-7.8	-7.4	-7.1	-8.5	-9.3	-6.2	-7.3	-7.1	-8.3	-8.2	-8.2	-8.4	-8.2	-8.1	-7.9	-8.0	-7.8	-7.6	-8.1	-7.4	-9.1	-7.3	-8.1	1.8206	0.7481872473653147
MURINWVRNUDOHN-GPQMBLKYNA-N	C=1(C=CC=2OCOC2C1)NC(CN3N=C(N=N3)C=4C(=CC=CC4)F)=O	-9.6	-10.7	-9.6	-9.7	-9.9	-8.4	-10.4	-8.1	-9.4	-8.7	-9.1	-9.6	-7.8	-10.2	-8.4	-8.8	-9.4	-10.0	-10.0	-11.2	-9.1	-7.8	-8.8	-9.5	-8.3	-8.7	-9.2	-7.9	-9.6	-8.2	-9.2	-8.7	-10.2	-10.2	-10.3	-9.9	-9.8	-8.5	-9.1	-10.6	-7.6	-8.6	-9.7	-10.8	-10.3	-9.3	-10.1	-9.3	-9.7	-9.4	-9.8	-9.6	-8.9	-9.3	-8.8	-10.4	-9.0	-9.6	1.8466	0.7786182021871619
VFHZXZJVSNFWAY-MPIMZMORNA-N	O1C2=C(OCC1)C=CC(C(=O)CCC(OCC(=O)N3C=4C(NC(=O)C3)=CC=CC4)=O)=C2	-10.0	-10.0	-10.5	-10.7	-10.8	-9.0	-9.1	-8.5	-9.8	-8.1	-9.1	-9.6	-8.3	-9.5	-9.3	-8.6	-9.5	-9.0	-10.5	-11.1	-7.7	-8.5	-9.1	-9.8	-7.7	-8.8	-9.3	-8.7	-9.6	-8.5	-9.6	-8.8	-10.4	-10.7	-9.0	-10.7	-10.0	-8.7	-9.7	-11.8	-8.0	-8.3	-9.7	-9.1	-10.0	-9.1	-10.2	-10.5	-10.6	-9.4	-9.6	-9.5	-8.2	-10.0	-8.7	-10.1	-9.1	-10.3	1.9492	0.5572677965136019
VMUZOMXXYCFZRZ-HQWBRPTQNA-N	O=C(NC1=CC=C(C=C1)CC(=O)NC=2C=C(C(=O)N3CCCCC3)C=CC2)C4CCCN(C4)C(=O)CCC5=CC=CC=C5	-11.7	-11.1	-11.3	-12.4	-12.6	-10.0	-5.1	-8.6	-10.6	-11.2	-10.7	-9.5	-8.9	-10.3	-9.9	-9.7	-10.7	-10.8	-11.7	-11.5	-7.9	-9.6	-10.0	-11.3	-7.7	-10.4	-10.1	-10.0	-8.7	-9.4	-10.5	-9.5	-11.2	-11.8	-8.9	-12.0	-11.2	-9.6	-10.6	-13.0	-8.2	-8.6	-12.4	-14.1	-11.1	-10.6	-11.9	-11.0	-10.8	-9.7	-10.8	-11.5	-9.5	-10.4	-9.1	-8.9	-8.9	-10.7	5.303800000000005	0.3587524393360704
ABKCIVRXZREFGL-UYBDAZJANA-N	O(C=1C=CC(NC=2N=CN=C3N4CCCCC4=NC32)=CC1)CC	-8.1	-9.6	-8.6	-9.1	-9.5	-8.1	-10.0	-6.9	-7.5	-7.4	-7.9	-9.0	-7.2	-8.1	-9.0	-7.8	-8.4	-8.2	-8.4	-10.1	-6.9	-7.2	-8.0	-8.4	-6.6	-8.0	-8.9	-7.3	-9.3	-8.2	-8.1	-8.1	-8.5	-9.5	-7.3	-8.7	-8.2	-7.4	-8.5	-8.1	-6.8	-7.4	-8.7	-8.5	-8.8	-8.2	-8.7	-8.9	-8.5	-7.8	-8.5	-8.3	-8.2	-8.9	-8.0	-9.2	-8.0	-8.8	3.3049000000000017	0.8007586829302565
HFDQYYVFVKIRDR-UHFFFAOYNA-N	FC1=CC=C(N2C=3N=CN=C(N4CC(OC(C4)C)C)C3C(=C2)C5=CC=CC=C5)C=C1	-9.3	-9.2	-8.5	-9.2	-9.5	-8.1	-2.6	-7.4	-9.6	-7.4	-8.1	-8.8	-8.1	-8.6	-8.4	-7.9	-9.2	-8.6	-10.6	-9.2	-7.0	-7.5	-8.5	-9.7	-5.9	-8.0	-10.4	-8.0	-5.6	-8.1	-9.0	-8.9	-8.3	-9.8	-7.2	-6.8	-9.0	-9.3	-7.9	-9.0	-7.5	-8.8	-10.4	-10.5	-7.4	-9.6	-8.7	-9.6	-8.8	-8.8	-9.9	-8.5	-8.5	-7.4	-9.6	-6.3	-8.2	-7.9	4.840200000000005	0.491829694961181
LWYGAYYSBCIGHJ-JQHVODBVNA-N	C=1C=CC=2N=C(C3CCN(CC3)S(C4=CC=CC=C4)(=O)=O)NC2C1C(N)=O	-9.4	-8.6	-10.3	-10.6	-10.2	-9.0	-8.3	-8.1	-9.8	-8.4	-8.8	-8.6	-7.8	-10.1	-8.7	-8.7	-9.9	-8.7	-11.0	-10.9	-7.1	-8.7	-9.2	-9.8	-6.6	-9.6	-9.0	-8.2	-9.0	-8.0	-9.3	-8.9	-7.7	-9.8	-8.0	-9.8	-8.8	-9.0	-9.3	-10.3	-7.8	-7.7	-10.3	-9.8	-10.1	-10.9	-9.7	-10.5	-10.2	-9.6	-10.8	-8.9	-9.0	-9.0	-8.7	-10.5	-9.7	-11.1	2.2301	0.7186617693335899
GZVTURAYXZMNFJ-WYUMXYHSNA-N	OC1=C(NC(=O)C2=CC(N(=O)=O)=CC=C2)C=C(C(=C1)C)C	-9.3	-10.0	-8.7	-9.8	-9.4	-8.1	-9.5	-7.4	-8.5	-7.5	-8.2	-8.0	-7.7	-9.1	-9.0	-8.2	-8.1	-8.5	-9.0	-9.9	-8.8	-8.2	-8.2	-8.5	-7.8	-8.1	-9.0	-7.4	-8.6	-8.4	-8.7	-8.4	-8.3	-9.5	-8.9	-8.5	-8.1	-7.6	-8.8	-9.2	-7.0	-7.7	-9.1	-8.2	-8.8	-8.8	-8.9	-9.0	-9.7	-8.2	-9.5	-8.9	-8.3	-9.0	-8.7	-9.2	-8.0	-9.2	3.1695400000000014	0.5146308417985859
OOHJMWBRPZCKLI-JAFMVTPMNA-N	S(=O)(=O)(N)C1=CC=C(CCNC2=NC=3N(N=C(C4=CC(OC)=C(OC)C(OC)=C4)C3)C=C2)C=C1	-9.3	-9.3	-9.2	-10.2	-10.2	-8.6	-6.4	-8.3	-9.1	-8.8	-8.7	-8.8	-9.8	-9.1	-8.0	-8.3	-9.6	-8.8	-10.0	-10.6	-6.7	-9.2	-8.5	-9.4	-6.4	-9.1	-8.5	-8.7	-8.6	-7.4	-9.6	-7.9	-8.9	-10.0	-8.2	-8.4	-8.7	-9.1	-8.5	-10.6	-8.2	-8.0	-10.2	-9.0	-8.7	-9.0	-9.8	-9.1	-8.9	-7.4	-10.1	-9.2	-7.5	-9.6	-8.3	-8.3	-8.4	-8.6	2.724100000000001	0.3716675065497543
